,cam,ImagePath,badImage,motion,grayscale
435,15,2017_SBU4_05290708,False,True,False
436,15,2017_SBU4_07160345,False,True,False
437,15,2017_SBU4_02270201,False,False,False
438,15,2017_SBU4_05290716,False,True,False
439,15,2017_SBU4_05100806,False,False,True
440,15,2017_SBU4_04080375,False,False,True
441,15,2017_SBU4_04030920,False,False,False
442,15,2017_SBU4_05310212,False,True,False
443,15,2017_SBU4_02240803,False,False,True
444,15,2017_SBU4_02020551,False,False,True
445,15,2017_SBU4_03210471,False,False,True
446,15,2017_SBU4_06170879,False,True,False
447,15,2017_SBU4_06100973,False,False,False
448,15,2017_SBU4_05300005,False,True,False
449,15,2017_SBU4_02090288,False,False,False
450,15,2017_SBU4_02120619,False,False,True
451,15,2017_SBU4_04070328,False,False,False
452,15,2017_SBU4_02150876,False,False,True
453,15,2017_SBU4_03220647,False,False,True
454,15,2017_SBU4_03100368,False,False,False
455,15,2017_SBU4_06280167,False,False,True
456,15,2017_SBU4_05220373,False,False,False
457,15,2017_SBU4_07010433,False,False,False
458,15,2017_SBU4_02110519,False,False,True
459,15,2017_SBU4_03050844,False,False,False
460,15,2017_SBU4_05140406,False,False,True
461,15,2017_SBU4_04100610,False,False,False
462,15,2017_SBU4_05040191,False,True,False
463,15,2017_SBU4_05140338,False,False,False
464,15,2017_SBU4_03040758,False,False,True
465,15,2017_SBU4_02080149,False,False,True
466,15,2017_SBU4_03150875,False,False,True
467,15,2017_SBU4_02090272,False,False,True
468,15,2017_SBU4_06120292,False,False,False
469,15,2017_SBU4_02170077,False,False,True
470,15,2017_SBU4_07020500,False,False,True
471,15,2017_SBU4_06070584,False,False,False
472,15,2017_SBU4_03120629,False,False,True
473,15,2017_SBU4_05160572,False,False,False
474,15,2017_SBU4_02230753,False,False,False
475,15,2017_SBU4_06260214,False,False,False
476,15,2017_SBU4_06010483,False,True,False
477,15,2017_SBU4_05290602,False,False,True
478,15,2017_SBU4_06030780,False,False,True
479,15,2017_SBU4_02190354,False,False,True
480,15,2017_SBU4_05010883,False,False,False
481,15,2017_SBU4_06170966,False,True,False
482,15,2017_SBU4_03100320,False,False,True
483,15,2017_SBU4_02110521,False,False,True
484,15,2017_SBU4_03280219,False,False,False
485,15,2017_SBU4_06060399,False,False,False
486,15,2017_SBU4_06200458,False,True,False
487,15,2017_SBU4_03280218,False,False,False
488,15,2017_SBU4_05230431,False,False,False
489,15,2017_SBU4_06260278,False,False,True
490,15,2017_SBU4_05060398,False,False,False
491,15,2017_SBU4_07150205,False,True,False
492,15,2017_SBU4_06080691,False,True,False
493,15,2017_SBU4_03210547,False,False,True
494,15,2017_SBU4_07100456,False,False,False
495,15,2017_SBU4_06200363,False,False,False
496,15,2017_SBU4_05110022,False,True,False
497,15,2017_SBU4_03210482,False,False,False
498,15,2017_SBU4_06270306,False,False,True
499,15,2017_SBU4_06170851,False,False,True
500,15,2017_SBU4_06040038,False,False,True
501,15,2017_SBU4_03010419,False,False,True
502,15,2017_SBU4_05120104,False,False,True
503,15,2017_SBU4_05240695,False,False,False
504,15,2017_SBU4_06160787,False,False,False
505,15,2017_SBU4_05300945,False,True,False
506,15,2017_SBU4_02010524,False,False,True
507,15,2017_SBU4_06180147,False,True,False
508,15,2017_SBU4_06090887,False,True,False
509,15,2017_SBU4_06200495,False,False,True
510,15,2017_SBU4_03150926,False,False,False
511,15,2017_SBU4_01310380,False,False,False
512,15,2017_SBU4_01270026,False,False,True
513,15,2017_SBU4_02170096,False,False,False
514,15,2017_SBU4_02250963,False,False,False
515,15,2017_SBU4_05280400,False,False,False
516,15,2017_SBU4_05280456,False,True,False
517,15,2017_SBU4_02110487,False,False,False
518,15,2017_SBU4_05010863,False,False,False
519,15,2017_SBU4_01310416,False,False,True
520,15,2017_SBU4_05030027,False,False,True
521,15,2017_SBU4_05100863,False,False,False
522,15,2017_SBU4_05130222,False,False,True
523,15,2017_SBU4_07120622,False,False,True
524,15,2017_SBU4_06030857,False,True,False
525,15,2017_SBU4_05240573,False,False,False
526,15,2017_SBU4_06040045,False,False,True
527,15,2017_SBU4_07080188,False,False,True
528,15,2017_SBU4_05070595,False,False,True
529,15,2017_SBU4_07030668,False,False,False
530,15,2017_SBU4_02070069,False,False,False
531,15,2017_SBU4_06150580,False,False,False
532,15,2017_SBU4_03220610,False,False,False
533,15,2017_SBU4_07040796,False,False,False
534,15,2017_SBU4_05120170,False,False,False
535,15,2017_SBU4_06250105,False,False,False
536,15,2017_SBU4_05040165,False,False,False
537,15,2017_SBU4_05060388,False,True,False
538,15,2017_SBU4_07050885,False,False,False
539,15,2017_SBU4_04050123,False,True,False
540,15,2017_SBU4_07040806,False,False,False
541,15,2017_SBU4_06060365,False,False,False
542,15,2017_SBU4_05210161,False,False,True
543,15,2017_SBU4_06020560,False,False,True
544,15,2017_SBU4_05040224,False,False,True
545,15,2017_SBU4_07120643,False,False,False
546,15,2017_SBU4_03040761,False,False,True
547,15,2017_SBU4_06100039,False,True,False
548,15,2017_SBU4_02200388,False,False,True
549,15,2017_SBU4_07050899,False,True,False
550,15,2017_SBU4_06210528,False,False,False
551,15,2017_SBU4_06220748,False,False,False
552,15,2017_SBU4_04020842,False,False,True
553,15,2017_SBU4_05230422,False,False,False
554,15,2017_SBU4_07060986,False,False,False
555,15,2017_SBU4_04240061,False,False,True
556,15,2017_SBU4_07150204,False,False,False
557,15,2017_SBU4_05090729,False,False,False
558,15,2017_SBU4_05270189,False,False,True
559,15,2017_SBU4_07160312,False,False,False
560,15,2017_SBU4_04290589,False,False,False
561,15,2017_SBU4_06120235,False,False,True
562,15,2017_SBU4_06140541,False,False,True
563,15,2017_SBU4_05230415,False,False,False
564,15,2017_SBU4_03250891,False,False,True
565,15,2017_SBU4_04260336,False,False,False
566,15,2017_SBU4_05270272,False,False,False
567,15,2017_SBU4_05250958,False,True,False
568,15,2017_SBU4_05240579,False,False,False
569,15,2017_SBU4_06010354,False,False,False
570,15,2017_SBU4_06020594,False,False,False
571,15,2017_SBU4_07060979,False,False,False
572,15,2017_SBU4_06070474,False,True,False
573,15,2017_SBU4_06300312,False,False,True
574,15,2017_SBU4_07140153,False,False,True
575,15,2017_SBU4_07130779,False,False,False
576,15,2017_SBU4_01310420,False,False,True
577,15,2017_SBU4_03260020,False,False,False
578,15,2017_SBU4_07160328,False,True,False
579,15,2017_SBU4_06110148,False,True,False
580,15,2017_SBU4_02180252,False,False,True
581,15,2017_SBU4_05260024,False,True,False
582,15,2017_SBU4_04060222,False,False,False
583,15,2017_SBU4_06120284,False,False,False
584,15,2017_SBU4_02010529,False,False,True
585,15,2017_SBU4_03290361,False,False,False
586,15,2017_SBU4_03240807,False,False,False
587,15,2017_SBU4_06060423,False,False,True
588,15,2017_SBU4_05030054,False,False,False
589,15,2017_SBU4_05120109,False,False,False
590,15,2017_SBU4_03140812,False,False,False
591,15,2017_SBU4_01310393,False,False,False
592,15,2017_SBU4_07140132,False,False,False
593,15,2017_SBU4_02070072,False,False,False
594,15,2017_SBU4_02080161,False,False,True
595,15,2017_SBU4_02010457,False,False,True
596,15,2017_SBU4_06020758,False,False,True
597,15,2017_SBU4_04020752,False,False,False
598,15,2017_SBU4_06030928,False,True,False
599,15,2017_SBU4_05110082,False,False,True
600,15,2017_SBU4_06260231,False,True,False
601,15,2017_SBU4_03210476,False,False,True
602,15,2017_SBU4_04200682,False,False,False
603,15,2017_SBU4_02280276,False,False,False
604,15,2017_SBU4_05160528,False,False,True
605,15,2017_SBU4_02160032,False,False,True
606,15,2017_SBU4_04020763,False,False,False
607,15,2017_SBU4_05270180,False,False,True
608,15,2017_SBU4_06150553,False,False,True
609,15,2017_SBU4_03140772,False,False,False
610,15,2017_SBU4_02270214,False,True,True
611,15,2017_SBU4_04070335,False,False,True
612,15,2017_SBU4_07150161,False,False,True
613,15,2017_SBU4_05310253,False,False,False
614,15,2017_SBU4_06100959,False,False,False
615,15,2017_SBU4_02100404,False,False,False
616,15,2017_SBU4_06170984,False,True,False
617,15,2017_SBU4_03130641,False,False,True
618,15,2017_SBU4_05170688,False,False,False
619,15,2017_SBU4_06220668,False,False,True
620,15,2017_SBU4_03160991,False,False,False
621,15,2017_SBU4_04070307,False,False,False
622,15,2017_SBU4_02030726,False,False,True
623,15,2017_SBU4_05110072,False,False,True
624,15,2017_SBU4_02160039,False,False,True
625,15,2017_SBU4_07160376,False,True,False
626,15,2017_SBU4_04240131,False,False,False
627,15,2017_SBU4_04070281,False,False,False
628,15,2017_SBU4_06100013,False,False,False
629,15,2017_SBU4_04210808,False,True,False
